score_set,classifier,imputer,auc,auc_mean,auc_lo,auc_hi,duration_s
luxpark,rf,median,0.9416572260883639,0.9418086448430518,0.9006195996660809,0.971659242706761,2.6884050369262695
luxpark,xgb,median,0.9366402330474187,0.9367567293778009,0.8950250553289885,0.969672925480017,3.6508171558380127
luxpark,logreg,median,0.8965852079624534,0.897660605998896,0.8461973213048423,0.942583223134909,1.2797009944915771
luxpark,rf,mean,0.9416976857096617,0.9418240215499549,0.8995065392105233,0.972974113023362,2.6332290172576904
luxpark,xgb,mean,0.9390678103252954,0.9391506171674854,0.8980934360614576,0.9719772329956741,3.6674349308013916
luxpark,logreg,mean,0.8975562388736041,0.8986155951485097,0.8480946825783778,0.9428047076673807,1.3358409404754639
luxpark,rf,knn,0.9403625182068296,0.9405579548173002,0.8971857020994671,0.9714201575975276,2.7066118717193604
luxpark,xgb,knn,0.9402815989642337,0.9405606128253774,0.9002283658180815,0.9715326539423438,3.836994171142578
luxpark,logreg,knn,0.9044748341155527,0.9055381725812329,0.8583520732739481,0.9468429102269562,1.423271894454956
luxpark,rf,mice,0.9395128661595727,0.9396522791632277,0.894825190352885,0.971795079306454,6.95765495300293
luxpark,xgb,mice,0.9373280466094838,0.9375297010866775,0.8945494002525252,0.9712330815101898,7.928762912750244
luxpark,logreg,mice,0.9091276905648163,0.9101361344959514,0.8631707379098473,0.9494223549283077,6.418443918228149
luxpark,rf,missforest,0.9418999838161516,0.9421509608955062,0.8981879793966036,0.9726637696004993,99.67725896835327
luxpark,xgb,missforest,0.9408884932837028,0.9413908122967369,0.8998162942974457,0.9734317895646021,103.70352101325989
luxpark,logreg,missforest,0.8984868101634569,0.8996036541020269,0.8502442442442442,0.9421005126888418,101.84185814857483
luxpark,rf,knn_ind,0.9406457355559151,0.9409829262472529,0.8982128675808629,0.9717251092281213,2.733910083770752
luxpark,xgb,knn_ind,0.9410907913901927,0.9414358951225946,0.902688511054782,0.9710895842622176,3.7828197479248047
luxpark,logreg,knn_ind,0.9113934293575012,0.9124038786648848,0.8645292154734578,0.9544477513227513,3.2938520908355713
luxpark,rf,median_ind,0.9413740087392781,0.9416913436203785,0.899377298049173,0.9713951034746954,2.7767128944396973
luxpark,xgb,median_ind,0.9357905810001619,0.9359312229711834,0.8944098696442446,0.9679262912893964,4.372096061706543
luxpark,logreg,median_ind,0.9016831202459945,0.9028137660441741,0.8546786292021217,0.9463232334884651,3.2032480239868164
luxpark,xgb,native_nan,0.9372875869881858,0.9374319057043631,0.8958046817084794,0.9697137505366703,3.8348278999328613
full,rf,median,0.9408884932837029,0.941227066831149,0.8981297339099921,0.9730607329253985,2.8522560596466064
full,xgb,median,0.9425877973782165,0.9427438908316053,0.9016279617023116,0.9739860562689904,3.844622850418091
full,logreg,median,0.8780547014079948,0.8793661626179511,0.8200715112433863,0.9322955367027103,2.5185108184814453
full,rf,mean,0.9416167664670658,0.9419042253825594,0.895950288071883,0.9753495492624294,2.825347900390625
full,xgb,mean,0.9394724065382748,0.9396440866063994,0.897462684489561,0.9721379955879733,4.504971027374268
full,logreg,mean,0.8799563036089981,0.8812602860899219,0.8226942234802518,0.9324067853870626,2.5124049186706543
full,rf,knn,0.9416572260883638,0.9419044266337238,0.8956550326039283,0.9748818076081007,2.992421865463257
full,xgb,knn,0.9464719210228192,0.9467889185858352,0.9054498607279604,0.9770569691919525,4.457700729370117
full,logreg,knn,0.8846091600582618,0.8858590751688218,0.8298659534063969,0.9341843873879802,2.6068689823150635
full,rf,mice,0.9427496358634084,0.9429845970642389,0.8986656574394464,0.9748309215933,16.95389175415039
full,xgb,mice,0.939351027674381,0.939573550932339,0.8943327563789536,0.9727514789029112,19.076677083969116
full,logreg,mice,0.8995387603172034,0.9006498209884014,0.8491422734971121,0.9444420664697727,18.064457893371582
full,rf,missforest,0.9412526298753843,0.9415586477440858,0.8962308907380178,0.9743891948171365,174.27909398078918
full,xgb,missforest,0.9432351513189836,0.9435274851355642,0.9023976460752713,0.975589738851934,177.30826807022095
full,logreg,missforest,0.8815342288396181,0.8828583310716285,0.8261385771377593,0.9330421707320877,173.9537432193756
full,rf,knn_ind,0.9404434374494254,0.9407876938225809,0.8941512336378347,0.9739828055839291,2.643326997756958
full,xgb,knn_ind,0.9450153746560932,0.9452979406195127,0.9030217614718377,0.9760989018708316,3.6130049228668213
full,logreg,knn_ind,0.896908884932837,0.8981216600884332,0.8482603507603508,0.9454067984917804,5.678027868270874
full,rf,median_ind,0.9406861951772132,0.9410720051446885,0.8972594850948509,0.9732318075893948,2.580472707748413
full,xgb,median_ind,0.9427496358634082,0.9429565697843213,0.9041859563594242,0.9732758237844972,3.8966259956359863
full,logreg,median_ind,0.8870771969574364,0.8883583065884091,0.8336289484821668,0.9377210513565892,5.774320840835571
full,xgb,native_nan,0.9370448292603982,0.9373249964014311,0.8934251284414224,0.9712176943159517,4.243795871734619
