classifier,outer_fold,tuned_inner_auc,tuned_outer_test_auc,best_params,duration_s
random_forest,0,0.953932596456239,0.9266968325791854,"{'n_estimators': 800, 'max_depth': 4, 'min_samples_leaf': 1, 'max_features': 'log2'}",55.416802167892456
random_forest,1,0.9477741656609943,0.959280303030303,"{'n_estimators': 800, 'max_depth': 6, 'min_samples_leaf': 17, 'max_features': 'sqrt'}",61.56785702705383
random_forest,2,0.9436164642397902,1.0,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_leaf': 15, 'max_features': 'sqrt'}",32.11506104469299
random_forest,3,0.9657194793867551,0.8836538461538461,"{'n_estimators': 500, 'max_depth': 11, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",47.21938610076904
random_forest,4,0.9562380052655195,0.9663461538461539,"{'n_estimators': 400, 'max_depth': 16, 'min_samples_leaf': 5, 'max_features': 0.5}",91.34558200836182
xgboost,0,0.9624187330872633,0.9266968325791854,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.07239327873175212, 'subsample': 0.5013058775526665, 'colsample_bytree': 0.9820463737955013}",152.30264711380005
xgboost,1,0.9499581354280844,0.9649621212121212,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.030315725522749647, 'subsample': 0.5089809378074098, 'colsample_bytree': 0.8285618345363206}",82.36109590530396
xgboost,2,0.9443435410103937,0.9863013698630138,"{'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.19030368381735815, 'subsample': 0.8005575058716043, 'colsample_bytree': 0.8540362888980227}",88.2536072731018
xgboost,3,0.9711995711233937,0.8836538461538461,"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.0286618947980441, 'subsample': 0.5367501368011154, 'colsample_bytree': 0.8377667746000513}",117.41509008407593
xgboost,4,0.9558720331253537,0.9769230769230769,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.013031219870851108, 'subsample': 0.6061908466229987, 'colsample_bytree': 0.6396777696943234}",352.43261790275574
logistic_regression,0,0.9231758607093169,0.8796380090497737,"{'C': 2.871704329664153, 'penalty': 'l1'}",10.63619089126587
logistic_regression,1,0.8690767973856209,0.8475378787878787,"{'C': 0.022590912938207773, 'penalty': 'elasticnet'}",3.1544320583343506
logistic_regression,2,0.8957222231580838,0.9665144596651445,"{'C': 5.377461054066278, 'penalty': 'l1'}",14.1129150390625
logistic_regression,3,0.9441378913568972,0.9009615384615386,"{'C': 0.1440391093220845, 'penalty': 'l1'}",3.8924460411071777
logistic_regression,4,0.8880360318927681,0.9211538461538462,"{'C': 0.04579588598371666, 'penalty': 'l1'}",4.583590984344482
