subset_id,k,rep,classifier,scores,roc_auc
k1_r0,1,0,Likelihood Ratio,UPDRS1,0.8845905607099638
k1_r1,1,1,Likelihood Ratio,AXSC_on,0.7929003630496168
k1_r2,1,2,Likelihood Ratio,HY_off,0.7398547801532877
k1_r3,1,3,Likelihood Ratio,VFT_sem_sum,0.6288422751109318
k1_r4,1,4,Likelihood Ratio,VFT_sem_sum,0.6288422751109318
k1_r5,1,5,Likelihood Ratio,PIGD_on,0.8601855586930215
k1_r6,1,6,Likelihood Ratio,UPDRS1,0.8845905607099638
k1_r7,1,7,Likelihood Ratio,HY_on,0.6950786607503026
k1_r8,1,8,Likelihood Ratio,MOCA,0.7137555465913675
k1_r9,1,9,Likelihood Ratio,UPDRS1,0.8845905607099638
k1_r10,1,10,Likelihood Ratio,JLO,0.636466317063332
k1_r11,1,11,Likelihood Ratio,LEDD,0.6799919322307382
k1_r12,1,12,Likelihood Ratio,AXSC_off,0.7828156514723679
k1_r13,1,13,Likelihood Ratio,AXSC_on,0.7929003630496168
k1_r14,1,14,Likelihood Ratio,HY_on,0.6950786607503026
k1_r15,1,15,Likelihood Ratio,AXSC_on,0.7929003630496168
k1_r16,1,16,Likelihood Ratio,HVLT_IR,0.6575231948366277
k1_r17,1,17,Likelihood Ratio,UPDRS2,0.890802743041549
k1_r18,1,18,Likelihood Ratio,PIGD_off,0.8263816054860831
k1_r19,1,19,Likelihood Ratio,HVLT_DR,0.5831383622428398
k1_r20,1,20,Likelihood Ratio,HVLT_IR,0.6575231948366277
k1_r21,1,21,Likelihood Ratio,VFT_phon_f,0.6454618797902381
k1_r22,1,22,Likelihood Ratio,UPDRS4,0.645502218636547
k1_r23,1,23,Likelihood Ratio,GDS,0.7007260992335619
k1_r24,1,24,Likelihood Ratio,AXSC_on,0.7929003630496168
k1_r25,1,25,Likelihood Ratio,HY_off,0.7398547801532877
k1_r26,1,26,Likelihood Ratio,VFT_sem_sum,0.6288422751109318
k1_r27,1,27,Likelihood Ratio,PIGD_off,0.8263816054860831
k1_r28,1,28,Likelihood Ratio,JLO,0.636466317063332
k1_r29,1,29,Likelihood Ratio,HVLT_DR,0.5831383622428398
k1_r30,1,30,Likelihood Ratio,HVLT_DR,0.5831383622428398
k1_r31,1,31,Likelihood Ratio,MOCA,0.7137555465913675
k1_r32,1,32,Likelihood Ratio,UPDRS1,0.8845905607099638
k1_r33,1,33,Likelihood Ratio,JLO,0.636466317063332
k1_r34,1,34,Likelihood Ratio,ESS,0.709439290036305
k1_r35,1,35,Likelihood Ratio,UPDRS3_on,0.7413876563130294
k1_r36,1,36,Likelihood Ratio,PIGD_on,0.8601855586930215
k1_r37,1,37,Likelihood Ratio,PIGD_off,0.8263816054860831
k1_r38,1,38,Likelihood Ratio,SCOPA,0.8107704719645018
k1_r39,1,39,Likelihood Ratio,SEADL,0.8649052037111737
k1_r40,1,40,Likelihood Ratio,UPDRS4,0.645502218636547
k1_r41,1,41,Likelihood Ratio,AXSC_off,0.7828156514723679
k1_r42,1,42,Likelihood Ratio,HY_on,0.6950786607503026
