classifier,model_type,follow_up,missingness,roc_auc
random_forest,slopes,120,0.0,0.6666666666666667
random_forest,slopes,120,0.2,0.6666666666666667
random_forest,slopes,120,0.4,0.6666666666666667
random_forest,slopes,120,0.6,0.6666666666666667
random_forest,slopes,120,0.8,1.0
random_forest,slopes,96,0.0,
random_forest,slopes,96,0.2,
random_forest,slopes,96,0.4,
random_forest,slopes,96,0.6,
random_forest,slopes,96,0.8,
random_forest,slopes,72,0.0,
random_forest,slopes,72,0.2,
random_forest,slopes,72,0.4,
random_forest,slopes,72,0.6,
random_forest,slopes,72,0.8,
random_forest,slopes,48,0.0,
random_forest,slopes,48,0.2,
random_forest,slopes,48,0.4,
random_forest,slopes,48,0.6,
random_forest,slopes,48,0.8,
random_forest,slopes,24,0.0,
random_forest,slopes,24,0.2,
random_forest,slopes,24,0.4,
random_forest,slopes,24,0.6,
random_forest,slopes,24,0.8,
random_forest,slopes,12,0.0,
random_forest,slopes,12,0.2,
random_forest,slopes,12,0.4,
random_forest,slopes,12,0.6,
random_forest,slopes,12,0.8,
random_forest,slopes+intercepts,120,0.0,0.6666666666666667
random_forest,slopes+intercepts,120,0.2,0.6666666666666667
random_forest,slopes+intercepts,120,0.4,0.6666666666666667
random_forest,slopes+intercepts,120,0.6,0.6666666666666667
random_forest,slopes+intercepts,120,0.8,1.0
random_forest,slopes+intercepts,96,0.0,
random_forest,slopes+intercepts,96,0.2,
random_forest,slopes+intercepts,96,0.4,
random_forest,slopes+intercepts,96,0.6,
random_forest,slopes+intercepts,96,0.8,
random_forest,slopes+intercepts,72,0.0,
random_forest,slopes+intercepts,72,0.2,
random_forest,slopes+intercepts,72,0.4,
random_forest,slopes+intercepts,72,0.6,
random_forest,slopes+intercepts,72,0.8,
random_forest,slopes+intercepts,48,0.0,
random_forest,slopes+intercepts,48,0.2,
random_forest,slopes+intercepts,48,0.4,
random_forest,slopes+intercepts,48,0.6,
random_forest,slopes+intercepts,48,0.8,
random_forest,slopes+intercepts,24,0.0,
random_forest,slopes+intercepts,24,0.2,
random_forest,slopes+intercepts,24,0.4,
random_forest,slopes+intercepts,24,0.6,
random_forest,slopes+intercepts,24,0.8,
random_forest,slopes+intercepts,12,0.0,
random_forest,slopes+intercepts,12,0.2,
random_forest,slopes+intercepts,12,0.4,
random_forest,slopes+intercepts,12,0.6,
random_forest,slopes+intercepts,12,0.8,
xgboost,slopes,120,0.0,0.6666666666666667
xgboost,slopes,120,0.2,0.6666666666666667
xgboost,slopes,120,0.4,0.6666666666666667
xgboost,slopes,120,0.6,0.6666666666666667
xgboost,slopes,120,0.8,1.0
xgboost,slopes,96,0.0,
xgboost,slopes,96,0.2,
xgboost,slopes,96,0.4,
xgboost,slopes,96,0.6,
xgboost,slopes,96,0.8,
xgboost,slopes,72,0.0,
xgboost,slopes,72,0.2,
xgboost,slopes,72,0.4,
xgboost,slopes,72,0.6,
xgboost,slopes,72,0.8,
xgboost,slopes,48,0.0,
xgboost,slopes,48,0.2,
xgboost,slopes,48,0.4,
xgboost,slopes,48,0.6,
xgboost,slopes,48,0.8,
xgboost,slopes,24,0.0,
xgboost,slopes,24,0.2,
xgboost,slopes,24,0.4,
xgboost,slopes,24,0.6,
xgboost,slopes,24,0.8,
xgboost,slopes,12,0.0,
xgboost,slopes,12,0.2,
xgboost,slopes,12,0.4,
xgboost,slopes,12,0.6,
xgboost,slopes,12,0.8,
xgboost,slopes+intercepts,120,0.0,0.6666666666666667
xgboost,slopes+intercepts,120,0.2,0.6666666666666667
xgboost,slopes+intercepts,120,0.4,0.6666666666666667
xgboost,slopes+intercepts,120,0.6,0.6666666666666667
xgboost,slopes+intercepts,120,0.8,1.0
xgboost,slopes+intercepts,96,0.0,
xgboost,slopes+intercepts,96,0.2,
xgboost,slopes+intercepts,96,0.4,
xgboost,slopes+intercepts,96,0.6,
xgboost,slopes+intercepts,96,0.8,
xgboost,slopes+intercepts,72,0.0,
xgboost,slopes+intercepts,72,0.2,
xgboost,slopes+intercepts,72,0.4,
xgboost,slopes+intercepts,72,0.6,
xgboost,slopes+intercepts,72,0.8,
xgboost,slopes+intercepts,48,0.0,
xgboost,slopes+intercepts,48,0.2,
xgboost,slopes+intercepts,48,0.4,
xgboost,slopes+intercepts,48,0.6,
xgboost,slopes+intercepts,48,0.8,
xgboost,slopes+intercepts,24,0.0,
xgboost,slopes+intercepts,24,0.2,
xgboost,slopes+intercepts,24,0.4,
xgboost,slopes+intercepts,24,0.6,
xgboost,slopes+intercepts,24,0.8,
xgboost,slopes+intercepts,12,0.0,
xgboost,slopes+intercepts,12,0.2,
xgboost,slopes+intercepts,12,0.4,
xgboost,slopes+intercepts,12,0.6,
xgboost,slopes+intercepts,12,0.8,
logistic_regression,slopes,120,0.0,0.6666666666666667
logistic_regression,slopes,120,0.2,0.6666666666666667
logistic_regression,slopes,120,0.4,0.6666666666666667
logistic_regression,slopes,120,0.6,0.6666666666666667
logistic_regression,slopes,120,0.8,0.33333333333333337
logistic_regression,slopes,96,0.0,
logistic_regression,slopes,96,0.2,
logistic_regression,slopes,96,0.4,
logistic_regression,slopes,96,0.6,
logistic_regression,slopes,96,0.8,
logistic_regression,slopes,72,0.0,
logistic_regression,slopes,72,0.2,
logistic_regression,slopes,72,0.4,
logistic_regression,slopes,72,0.6,
logistic_regression,slopes,72,0.8,
logistic_regression,slopes,48,0.0,
logistic_regression,slopes,48,0.2,
logistic_regression,slopes,48,0.4,
logistic_regression,slopes,48,0.6,
logistic_regression,slopes,48,0.8,
logistic_regression,slopes,24,0.0,
logistic_regression,slopes,24,0.2,
logistic_regression,slopes,24,0.4,
logistic_regression,slopes,24,0.6,
logistic_regression,slopes,24,0.8,
logistic_regression,slopes,12,0.0,
logistic_regression,slopes,12,0.2,
logistic_regression,slopes,12,0.4,
logistic_regression,slopes,12,0.6,
logistic_regression,slopes,12,0.8,
logistic_regression,slopes+intercepts,120,0.0,0.33333333333333337
logistic_regression,slopes+intercepts,120,0.2,0.33333333333333337
logistic_regression,slopes+intercepts,120,0.4,0.6666666666666667
logistic_regression,slopes+intercepts,120,0.6,0.6666666666666667
logistic_regression,slopes+intercepts,120,0.8,0.33333333333333337
logistic_regression,slopes+intercepts,96,0.0,
logistic_regression,slopes+intercepts,96,0.2,
logistic_regression,slopes+intercepts,96,0.4,
logistic_regression,slopes+intercepts,96,0.6,
logistic_regression,slopes+intercepts,96,0.8,
logistic_regression,slopes+intercepts,72,0.0,
logistic_regression,slopes+intercepts,72,0.2,
logistic_regression,slopes+intercepts,72,0.4,
logistic_regression,slopes+intercepts,72,0.6,
logistic_regression,slopes+intercepts,72,0.8,
logistic_regression,slopes+intercepts,48,0.0,
logistic_regression,slopes+intercepts,48,0.2,
logistic_regression,slopes+intercepts,48,0.4,
logistic_regression,slopes+intercepts,48,0.6,
logistic_regression,slopes+intercepts,48,0.8,
logistic_regression,slopes+intercepts,24,0.0,
logistic_regression,slopes+intercepts,24,0.2,
logistic_regression,slopes+intercepts,24,0.4,
logistic_regression,slopes+intercepts,24,0.6,
logistic_regression,slopes+intercepts,24,0.8,
logistic_regression,slopes+intercepts,12,0.0,
logistic_regression,slopes+intercepts,12,0.2,
logistic_regression,slopes+intercepts,12,0.4,
logistic_regression,slopes+intercepts,12,0.6,
logistic_regression,slopes+intercepts,12,0.8,
