classifier,model_type,follow_up,missingness,roc_auc
random_forest,slopes,120,0.0,0.8611111111111112
random_forest,slopes,120,0.2,0.8611111111111112
random_forest,slopes,120,0.4,0.8333333333333334
random_forest,slopes,120,0.6,0.8888888888888888
random_forest,slopes,120,0.8,0.8611111111111112
random_forest,slopes,96,0.0,1.0
random_forest,slopes,96,0.2,1.0
random_forest,slopes,96,0.4,0.75
random_forest,slopes,96,0.6,1.0
random_forest,slopes,96,0.8,0.5
random_forest,slopes,72,0.0,
random_forest,slopes,72,0.2,
random_forest,slopes,72,0.4,
random_forest,slopes,72,0.6,
random_forest,slopes,72,0.8,
random_forest,slopes,48,0.0,
random_forest,slopes,48,0.2,
random_forest,slopes,48,0.4,
random_forest,slopes,48,0.6,
random_forest,slopes,48,0.8,
random_forest,slopes,24,0.0,
random_forest,slopes,24,0.2,
random_forest,slopes,24,0.4,
random_forest,slopes,24,0.6,
random_forest,slopes,24,0.8,
random_forest,slopes,12,0.0,
random_forest,slopes,12,0.2,
random_forest,slopes,12,0.4,
random_forest,slopes,12,0.6,
random_forest,slopes,12,0.8,
random_forest,slopes+intercepts,120,0.0,0.8611111111111112
random_forest,slopes+intercepts,120,0.2,0.8611111111111112
random_forest,slopes+intercepts,120,0.4,0.8611111111111112
random_forest,slopes+intercepts,120,0.6,0.8888888888888888
random_forest,slopes+intercepts,120,0.8,0.8333333333333335
random_forest,slopes+intercepts,96,0.0,1.0
random_forest,slopes+intercepts,96,0.2,1.0
random_forest,slopes+intercepts,96,0.4,0.875
random_forest,slopes+intercepts,96,0.6,1.0
random_forest,slopes+intercepts,96,0.8,0.75
random_forest,slopes+intercepts,72,0.0,
random_forest,slopes+intercepts,72,0.2,
random_forest,slopes+intercepts,72,0.4,
random_forest,slopes+intercepts,72,0.6,
random_forest,slopes+intercepts,72,0.8,
random_forest,slopes+intercepts,48,0.0,
random_forest,slopes+intercepts,48,0.2,
random_forest,slopes+intercepts,48,0.4,
random_forest,slopes+intercepts,48,0.6,
random_forest,slopes+intercepts,48,0.8,
random_forest,slopes+intercepts,24,0.0,
random_forest,slopes+intercepts,24,0.2,
random_forest,slopes+intercepts,24,0.4,
random_forest,slopes+intercepts,24,0.6,
random_forest,slopes+intercepts,24,0.8,
random_forest,slopes+intercepts,12,0.0,
random_forest,slopes+intercepts,12,0.2,
random_forest,slopes+intercepts,12,0.4,
random_forest,slopes+intercepts,12,0.6,
random_forest,slopes+intercepts,12,0.8,
xgboost,slopes,120,0.0,0.7777777777777779
xgboost,slopes,120,0.2,0.7777777777777779
xgboost,slopes,120,0.4,0.8055555555555556
xgboost,slopes,120,0.6,0.8333333333333334
xgboost,slopes,120,0.8,0.8333333333333334
xgboost,slopes,96,0.0,1.0
xgboost,slopes,96,0.2,1.0
xgboost,slopes,96,0.4,0.875
xgboost,slopes,96,0.6,1.0
xgboost,slopes,96,0.8,0.5
xgboost,slopes,72,0.0,
xgboost,slopes,72,0.2,
xgboost,slopes,72,0.4,
xgboost,slopes,72,0.6,
xgboost,slopes,72,0.8,
