classifier,missingness,auc_point,auc_mean,auc_lo,auc_hi
random_forest,0.0,0.9443475733798314,0.9439916246577679,0.8977581996677987,0.9800184618297414
random_forest,0.2,0.9446381865736705,0.9443107882766939,0.8966481483363999,0.9804812408073014
random_forest,0.3,0.9446381865736705,0.9449822437778055,0.8999697754749568,0.9795683423268585
random_forest,0.5,0.9455100261551874,0.945901124006216,0.8933370807139908,0.9825342266931262
random_forest,0.7,0.9206625980819529,0.9214028903811756,0.8690237123557557,0.961858482163551
random_forest,0.8,0.8493170589944783,0.8501892764990516,0.7832636778115502,0.9099323062558357
random_forest,0.9,0.7650392327811683,0.7629391350366168,0.6612732466724063,0.8567447747582535
xgboost,0.0,0.9315605928509154,0.9302421147448684,0.876464332460733,0.9740492723463292
xgboost,0.2,0.9295263004940425,0.9305727533169756,0.8770376147546705,0.9736954909068661
xgboost,0.3,0.9308340598663181,0.9296676812069649,0.8744164283049373,0.9712830389684265
xgboost,0.5,0.922115664051148,0.9228735846054219,0.8569855233419064,0.9707891464579111
xgboost,0.7,0.9186283057250799,0.9189563179246852,0.8771742362538624,0.9567000871839582
xgboost,0.8,0.8256320836965998,0.8287987175691585,0.7585302181852728,0.8947430411134218
xgboost,0.9,0.7532693984306887,0.7523035519951953,0.6444508535145939,0.8525402261484252
logistic_regression,0.0,0.955245568148794,0.955193837907197,0.9215025350950061,0.9818703600469897
logistic_regression,0.2,0.955536181342633,0.9551872550852776,0.9225149117618062,0.9816390552537775
logistic_regression,0.3,0.9582970066841034,0.9584427179897934,0.9272054692283103,0.9822982062239544
logistic_regression,0.5,0.9398430688753269,0.9422074428988956,0.8912905869255985,0.9778666728349371
logistic_regression,0.7,0.8788142981691369,0.8783533016642476,0.8045021601536789,0.9336651161522792
logistic_regression,0.8,0.8135716361522813,0.8145003751742447,0.7194061062142556,0.8972088658055339
logistic_regression,0.9,0.6450159837256612,0.644442948708676,0.5223902627150336,0.7570850900293068
