score,roc_auc,classifier,model_type
UPDRS3_off,0.6954820492133925,random_forest,slopes
UPDRS3_on,0.7236789027833805,random_forest,slopes
UPDRS1,0.8294271883824123,random_forest,slopes
UPDRS2,0.8486486486486486,random_forest,slopes
UPDRS4,0.6155102864058088,random_forest,slopes
MOCA,0.7146631706333199,random_forest,slopes
SCOPA,0.5845905607099638,random_forest,slopes
RBDScr,0.5523598225090762,random_forest,slopes
LNS,0.586304961678096,random_forest,slopes
VFT_phon_f,0.641730536506656,random_forest,slopes
VFT_sem_sum,0.5617386042759177,random_forest,slopes
HVLT_DR,0.5869907220653489,random_forest,slopes
HVLT_IR,0.6417910447761194,random_forest,slopes
JLO,0.6675473981444131,random_forest,slopes
SDM,0.6560911657926584,random_forest,slopes
SEADL,0.8483461073013312,random_forest,slopes
HY_off,0.6650060508269463,random_forest,slopes
HY_on,0.668918918918919,random_forest,slopes
AXSC_off,0.7199273900766439,random_forest,slopes
AXSC_on,0.7167809600645421,random_forest,slopes
PIGD_off,0.7697256958450989,random_forest,slopes
PIGD_on,0.7983259378781767,random_forest,slopes
ESS,0.549878983461073,random_forest,slopes
GDS,0.6397942718838241,random_forest,slopes
LEDD,0.6815046389673255,random_forest,slopes
UPDRS3_off,0.7615974183138363,random_forest,slopes+intercepts
UPDRS3_on,0.7333400564743848,random_forest,slopes+intercepts
UPDRS1,0.8860427591770876,random_forest,slopes+intercepts
UPDRS2,0.8740217829770068,random_forest,slopes+intercepts
UPDRS4,0.6386849536103267,random_forest,slopes+intercepts
MOCA,0.7152480839048003,random_forest,slopes+intercepts
SCOPA,0.7747882210568778,random_forest,slopes+intercepts
RBDScr,0.6096409842678499,random_forest,slopes+intercepts
LNS,0.6368495361032674,random_forest,slopes+intercepts
VFT_phon_f,0.6263009277934651,random_forest,slopes+intercepts
VFT_sem_sum,0.6516135538523599,random_forest,slopes+intercepts
HVLT_DR,0.6243848325937879,random_forest,slopes+intercepts
HVLT_IR,0.6495966115369101,random_forest,slopes+intercepts
JLO,0.713896732553449,random_forest,slopes+intercepts
SDM,0.7440701895925776,random_forest,slopes+intercepts
SEADL,0.855465913674869,random_forest,slopes+intercepts
HY_off,0.6660951996772894,random_forest,slopes+intercepts
HY_on,0.6777329568374345,random_forest,slopes+intercepts
AXSC_off,0.718555869302138,random_forest,slopes+intercepts
AXSC_on,0.7755546591367486,random_forest,slopes+intercepts
PIGD_off,0.7869705526421944,random_forest,slopes+intercepts
PIGD_on,0.8412666397741024,random_forest,slopes+intercepts
ESS,0.6526421944332392,random_forest,slopes+intercepts
GDS,0.6864058087938685,random_forest,slopes+intercepts
LEDD,0.6533279548204921,random_forest,slopes+intercepts
UPDRS3_off,0.6792658329971764,xgboost,slopes
UPDRS3_on,0.699959661153691,xgboost,slopes
UPDRS1,0.8100242033077854,xgboost,slopes
