subset_id,k,rep,classifier,scores,roc_auc
k1_r0,1,0,random_forest,UPDRS1,0.8852359822509077
k1_r1,1,1,random_forest,AXSC_on,0.7801129487696653
k1_r2,1,2,random_forest,HY_off,0.658753529649052
k1_r3,1,3,random_forest,VFT_sem_sum,0.650564743848326
k1_r4,1,4,random_forest,VFT_sem_sum,0.650564743848326
k1_r5,1,5,random_forest,PIGD_on,0.8363453005244049
k1_r6,1,6,random_forest,UPDRS1,0.8852359822509077
k1_r7,1,7,random_forest,HY_on,0.6789834610730134
k1_r8,1,8,random_forest,MOCA,0.7126260588947156
k1_r9,1,9,random_forest,UPDRS1,0.8852359822509077
k1_r10,1,10,random_forest,JLO,0.7187373941105285
k1_r11,1,11,random_forest,LEDD,0.6507462686567165
k1_r12,1,12,random_forest,AXSC_off,0.7208148446954418
k1_r13,1,13,random_forest,AXSC_on,0.7801129487696653
k1_r14,1,14,random_forest,HY_on,0.6789834610730134
k1_r15,1,15,random_forest,AXSC_on,0.7801129487696653
k1_r16,1,16,random_forest,HVLT_IR,0.6514925373134329
k1_r17,1,17,random_forest,UPDRS2,0.8755949979830577
k1_r18,1,18,random_forest,PIGD_off,0.7947962888261396
k1_r19,1,19,random_forest,HVLT_DR,0.6262605889471563
k1_r20,1,20,random_forest,HVLT_IR,0.6514925373134329
k1_r21,1,21,random_forest,VFT_phon_f,0.6262202501008471
k1_r22,1,22,random_forest,UPDRS4,0.6387656313029447
k1_r23,1,23,random_forest,GDS,0.6893505445744252
k1_r24,1,24,random_forest,AXSC_on,0.7801129487696653
k1_r25,1,25,random_forest,HY_off,0.658753529649052
k1_r26,1,26,random_forest,VFT_sem_sum,0.650564743848326
k1_r27,1,27,random_forest,PIGD_off,0.7947962888261396
k1_r28,1,28,random_forest,JLO,0.7187373941105285
k1_r29,1,29,random_forest,HVLT_DR,0.6262605889471563
k1_r30,1,30,random_forest,HVLT_DR,0.6262605889471563
k1_r31,1,31,random_forest,MOCA,0.7126260588947156
k1_r32,1,32,random_forest,UPDRS1,0.8852359822509077
k1_r33,1,33,random_forest,JLO,0.7187373941105285
k1_r34,1,34,random_forest,ESS,0.6464300121016539
k1_r35,1,35,random_forest,UPDRS3_on,0.7314844695441711
k1_r36,1,36,random_forest,PIGD_on,0.8363453005244049
k1_r37,1,37,random_forest,PIGD_off,0.7947962888261396
k1_r38,1,38,random_forest,SCOPA,0.7771278741427995
k1_r39,1,39,random_forest,SEADL,0.8561113352158128
k1_r40,1,40,random_forest,UPDRS4,0.6387656313029447
k1_r41,1,41,random_forest,AXSC_off,0.7208148446954418
k1_r42,1,42,random_forest,HY_on,0.6789834610730134
k1_r43,1,43,random_forest,LNS,0.6282170229931423
k1_r44,1,44,random_forest,UPDRS3_on,0.7314844695441711
k1_r45,1,45,random_forest,LEDD,0.6507462686567165
k1_r46,1,46,random_forest,HVLT_DR,0.6262605889471563
k1_r47,1,47,random_forest,ESS,0.6464300121016539
k1_r48,1,48,random_forest,HY_off,0.658753529649052
k1_r49,1,49,random_forest,AXSC_on,0.7801129487696653
k2_r0,2,0,random_forest,"UPDRS4,AXSC_off",0.7525816861637757
k2_r1,2,1,random_forest,"HVLT_IR,HVLT_DR",0.6532271077047196
k2_r2,2,2,random_forest,"JLO,UPDRS2",0.900322710770472
k2_r3,2,3,random_forest,"HY_off,GDS",0.7409035901573214
k2_r4,2,4,random_forest,"LEDD,LNS",0.7382815651472369
k2_r5,2,5,random_forest,"ESS,RBDScr",0.6752319483662766
k2_r6,2,6,random_forest,"UPDRS3_on,HVLT_DR",0.7520976200080678
k2_r7,2,7,random_forest,"HVLT_DR,UPDRS4",0.7001411859620814
k2_r8,2,8,random_forest,"HVLT_DR,HY_off",0.7161355385235982
k2_r9,2,9,random_forest,"MOCA,SDM",0.7605284388866478
k2_r10,2,10,random_forest,"VFT_sem_sum,ESS",0.7052440500201694
k2_r11,2,11,random_forest,"AXSC_on,SEADL",0.8783380395320693
k2_r12,2,12,random_forest,"UPDRS1,RBDScr",0.891246470350948
k2_r13,2,13,random_forest,"AXSC_on,VFT_sem_sum",0.7973578055667608
k2_r14,2,14,random_forest,"PIGD_off,VFT_phon_f",0.7903186768858411
k2_r15,2,15,random_forest,"SCOPA,MOCA",0.7950383219039936
k2_r16,2,16,random_forest,"SEADL,UPDRS2",0.9117587736990722
k2_r17,2,17,random_forest,"PIGD_off,UPDRS4",0.7955022186365469
k2_r18,2,18,random_forest,"AXSC_on,LEDD",0.7979830576845502
k2_r19,2,19,random_forest,"SEADL,HVLT_DR",0.8770875352964905
k2_r20,2,20,random_forest,"SCOPA,AXSC_on",0.8055264219443325
k2_r21,2,21,random_forest,"HVLT_DR,HVLT_IR",0.6515732150060509
k2_r22,2,22,random_forest,"UPDRS2,UPDRS3_off",0.9074223477208553
k2_r23,2,23,random_forest,"UPDRS1,VFT_sem_sum",0.8809197256958451
k2_r24,2,24,random_forest,"SEADL,HVLT_DR",0.8770875352964905
k2_r25,2,25,random_forest,"JLO,UPDRS3_on",0.7710568777732957
k2_r26,2,26,random_forest,"JLO,SEADL",0.8831787010891489
k2_r27,2,27,random_forest,"JLO,UPDRS1",0.9018959257765228
k2_r28,2,28,random_forest,"AXSC_on,RBDScr",0.7629286002420331
k2_r29,2,29,random_forest,"LNS,UPDRS3_off",0.7826139572408229
k2_r30,2,30,random_forest,"MOCA,GDS",0.7688987494957644
k2_r31,2,31,random_forest,"VFT_phon_f,LEDD",0.6710770471964501
k2_r32,2,32,random_forest,"UPDRS3_off,MOCA",0.8057281161758775
k2_r33,2,33,random_forest,"PIGD_on,UPDRS3_on",0.8140379185155304
k2_r34,2,34,random_forest,"RBDScr,ESS",0.6774102460669625
k2_r35,2,35,random_forest,"SEADL,UPDRS2",0.9117587736990722
k2_r36,2,36,random_forest,"HVLT_IR,AXSC_on",0.7695240016135538
k2_r37,2,37,random_forest,"VFT_sem_sum,SEADL",0.8743848325937879
